Tract ID,County,Median_Home_Value,Year
4001,Alameda,1000000.0,2010
4002,Alameda,912200.0,2010
4003,Alameda,760200.0,2010
4004,Alameda,784100.0,2010
4005,Alameda,594700.0,2010
4006,Alameda,561900.0,2010
4007,Alameda,480300.0,2010
4008,Alameda,550600.0,2010
4009,Alameda,480100.0,2010
4010,Alameda,416500.0,2010
4011,Alameda,527600.0,2010
4012,Alameda,602400.0,2010
4013,Alameda,358200.0,2010
4014,Alameda,391100.0,2010
4015,Alameda,382500.0,2010
4016,Alameda,386100.0,2010
4017,Alameda,396900.0,2010
4018,Alameda,0.0,2010
4022,Alameda,408300.0,2010
4024,Alameda,330000.0,2010
4025,Alameda,303800.0,2010
4026,Alameda,421300.0,2010
4027,Alameda,300000.0,2010
4028,Alameda,335300.0,2010
4029,Alameda,0.0,2010
4030,Alameda,394000.0,2010
4031,Alameda,439000.0,2010
4033,Alameda,422500.0,2010
4034,Alameda,445700.0,2010
4035.01,Alameda,453300.0,2010
4035.02,Alameda,312000.0,2010
4036,Alameda,355500.0,2010
4037.01,Alameda,355600.0,2010
4037.02,Alameda,489600.0,2010
4038,Alameda,799700.0,2010
4039,Alameda,471000.0,2010
4040,Alameda,459400.0,2010
4041.01,Alameda,779400.0,2010
4041.02,Alameda,534700.0,2010
4042,Alameda,983500.0,2010
4043,Alameda,1000000.0,2010
4044,Alameda,897100.0,2010
4045.01,Alameda,980200.0,2010
4045.02,Alameda,864700.0,2010
4046,Alameda,847400.0,2010
4047,Alameda,832000.0,2010
4048,Alameda,723600.0,2010
4049,Alameda,636000.0,2010
4050,Alameda,767400.0,2010
4051,Alameda,924400.0,2010
4052,Alameda,604900.0,2010
4053.01,Alameda,466700.0,2010
4053.02,Alameda,642900.0,2010
4054.01,Alameda,241800.0,2010
4054.02,Alameda,343800.0,2010
4055,Alameda,429100.0,2010
4056,Alameda,480200.0,2010
4057,Alameda,418900.0,2010
4058,Alameda,390000.0,2010
4059.01,Alameda,580400.0,2010
4059.02,Alameda,378200.0,2010
4060,Alameda,174000.0,2010
4061,Alameda,429100.0,2010
4062.01,Alameda,436500.0,2010
4062.02,Alameda,409100.0,2010
4063,Alameda,411600.0,2010
4064,Alameda,452400.0,2010
4065,Alameda,405100.0,2010
4066.01,Alameda,477600.0,2010
4066.02,Alameda,298200.0,2010
4067,Alameda,564700.0,2010
4068,Alameda,568900.0,2010
4069,Alameda,581600.0,2010
4070,Alameda,358800.0,2010
4071.01,Alameda,373300.0,2010
4071.02,Alameda,419000.0,2010
4072,Alameda,496900.0,2010
4073,Alameda,225300.0,2010
4074,Alameda,414300.0,2010
4075,Alameda,390400.0,2010
4076,Alameda,455000.0,2010
4077,Alameda,475100.0,2010
4078,Alameda,473300.0,2010
4079,Alameda,609500.0,2010
4080,Alameda,780300.0,2010
4081,Alameda,690700.0,2010
4082,Alameda,434200.0,2010
4083,Alameda,453100.0,2010
4084,Alameda,368000.0,2010
4085,Alameda,389700.0,2010
4086,Alameda,402200.0,2010
4087,Alameda,400900.0,2010
4088,Alameda,382900.0,2010
4089,Alameda,239100.0,2010
4090,Alameda,356400.0,2010
4091,Alameda,280000.0,2010
4092,Alameda,405400.0,2010
4093,Alameda,370700.0,2010
4094,Alameda,336100.0,2010
4095,Alameda,450000.0,2010
4096,Alameda,413700.0,2010
4097,Alameda,343200.0,2010
4098,Alameda,483900.0,2010
4099,Alameda,593600.0,2010
4100,Alameda,610500.0,2010
4101,Alameda,438200.0,2010
4102,Alameda,294200.0,2010
4103,Alameda,403800.0,2010
4104,Alameda,340000.0,2010
4105,Alameda,367400.0,2010
4201,Alameda,675200.0,2010
4202,Alameda,628200.0,2010
4203,Alameda,489100.0,2010
4204,Alameda,0.0,2010
4205,Alameda,603900.0,2010
4206,Alameda,743600.0,2010
4211,Alameda,878200.0,2010
4212,Alameda,1000000.0,2010
4213,Alameda,866700.0,2010
4214,Alameda,932700.0,2010
4215,Alameda,915300.0,2010
4216,Alameda,863100.0,2010
4217,Alameda,774200.0,2010
4218,Alameda,796100.0,2010
4219,Alameda,654600.0,2010
4220,Alameda,523600.0,2010
4221,Alameda,592800.0,2010
4222,Alameda,620200.0,2010
4223,Alameda,681100.0,2010
4224,Alameda,620600.0,2010
4225,Alameda,686700.0,2010
4226,Alameda,0.0,2010
4227,Alameda,966100.0,2010
4228,Alameda,350000.0,2010
4229,Alameda,0.0,2010
4230,Alameda,618600.0,2010
4231,Alameda,610000.0,2010
4232,Alameda,495000.0,2010
4233,Alameda,574500.0,2010
4234,Alameda,592400.0,2010
4235,Alameda,622100.0,2010
4236.01,Alameda,696300.0,2010
4236.02,Alameda,689300.0,2010
4237,Alameda,983200.0,2010
4238,Alameda,1000000.0,2010
4239.01,Alameda,425000.0,2010
4239.02,Alameda,782400.0,2010
4240.01,Alameda,620600.0,2010
4240.02,Alameda,446400.0,2010
4251.01,Alameda,364400.0,2010
4251.02,Alameda,451500.0,2010
4251.03,Alameda,494600.0,2010
4251.04,Alameda,430000.0,2010
